target_coordinates	gene_name	transcript_id	Strand
chr14:21075645-21075765	ARHGEF40	ENST00000298694	+
chr1:46196731-46196849	POMGNT1	ENST00000371984	-
chr1:55092821-55092916	USP24	ENST00000294383	-
chr11:43327789-43327878	API5	ENST00000531273	+
chr14:92706483-92706653	LGMN	ENST00000334869	-
chr19:51346900-51347058	ETFB	ENST00000309244	-
chr19:41902784-41902898	ARHGEF1	ENST00000354532	+
chr1:31346640-31346740	ZCCHC17	ENST00000344147	+
chr19:42515011-42515103	CEACAM1	ENST00000358394	-
chr22:50579974-50580082	CHKB	ENST00000406938	-
chr9:35738526-35738632	GBA2	ENST00000378103	-
chr3:132665984-132666073	UBA5	ENST00000356232	+
chr1:31915895-31915987	PTP4A2	ENST00000647444	-
chr4:87438277-87438372	NUDT9	ENST00000302174	+
chr12:45964107-45964188	SCAF11	ENST00000369367	-
chr11:74138720-74138967	C2CD3	ENST00000334126	-
chr1:35442246-35442336	KIAA0319L	ENST00000325722	-
chr11:72022339-72022419	NUMA1	ENST00000393695	-
chr2:159714557-159714598	MARCHF7	ENST00000409175	+
chr3:10093285-10093323	FANCD2	ENST00000675286	+
chr7:121362897-121362947	FAM3C	ENST00000359943	-
chr6:130899491-130899578	EPB41L2	ENST00000337057	-
chr2:171330559-171330698	METTL8	ENST00000375258	-
chr2:63589961-63590084	MDH1	ENST00000436321	+
chr8:144440966-144441111	TONSL	ENST00000409379	-
chr19:6718247-6718412	C3	ENST00000245907	-
chr13:39024473-39024556	PROSER1	ENST00000352251	-
chr8:47823858-47823996	PRKDC	ENST00000314191	-
chr12:14796807-14797003	WBP11	ENST00000261167	-
chrX:129557861-129557950	OCRL	ENST00000371113	+
chr9:87646461-87646559	DAPK1	ENST00000408954	+
chr5:80455692-80455774	ZFYVE16	ENST00000505560	+
chr10:12173718-12173813	NUDT5	ENST00000491614	-
chr1:36139720-36139819	TRAPPC3	ENST00000373166	-
chr11:62600166-62600259	MTA2	ENST00000278823	-
chr1:36460692-36460776	MRPS15	ENST00000373116	-
chr9:123457348-123457435	DENND1A	ENST00000394215	-
chr14:24238589-24238748	GMPR2	ENST00000558748	+
chr2:111150044-111150147	BCL2L11	ENST00000393256	+
chrX:19607938-19608045	SH3KBP1	ENST00000397821	-
chr2:10657742-10657891	NOL10	ENST00000381685	-
chr5:72905303-72905445	TNPO1	ENST00000337273	+
chr2:102726845-102726974	MFSD9	ENST00000258436	-
chr11:17995796-17995909	SERGEF	ENST00000265965	-
chr2:113465129-113465173	ZNG1B	ENST00000259199	+
chr3:146525605-146525647	PLSCR1	ENST00000342435	-
chr11:65552860-65552982	LTBP3	ENST00000301873	-
chr1:45009986-45010121	HECTD3	ENST00000372172	-
chr20:2660030-2660176	IDH3B	ENST00000380843	-
chr1:156564615-156564691	IQGAP3	ENST00000361170	-
chr1:39847548-39847660	TRIT1	ENST00000316891	-
chr14:24118055-24118155	DCAF11	ENST00000446197	+
chr13:52426989-52427066	VPS36	ENST00000378060	-
chr12:56672740-56672809	PTGES3	ENST00000262033	-
chr1:38016359-38016420	UTP11	ENST00000373014	+
chr2:118107090-118107189	INSIG2	ENST00000245787	+
chr4:44718309-44718410	GNPDA2	ENST00000295448	-
chr1:224360495-224360563	CNIH4	ENST00000465271	+
chr20:34941713-34941829	GSS	ENST00000651619	-
chr15:58542534-58542651	LIPC	ENST00000299022	+
chr4:39755657-39755739	UBE2K	ENST00000261427	+
chr14:54432108-54432220	CNIH1	ENST00000216416	-
chr5:131647090-131647205	FNIP1	ENST00000510461	-
chr21:32352710-32352906	URB1	ENST00000382751	-
chr7:101131875-101132069	SERPINE1	ENST00000223095	+
chr20:34645275-34645334	PIGU	ENST00000217446	-
chr15:84670725-84670782	SEC11A	ENST00000268220	-
chr20:58986754-58986863	NELFCD	ENST00000652272	+
chr14:77428370-77428474	VIPAS39	ENST00000557658	-
chr17:63764740-63764847	CCDC47	ENST00000225726	-
chr20:5941243-5941345	TRMT6	ENST00000203001	-
chr4:23813021-23813125	PPARGC1A	ENST00000264867	-
chr9:79706747-79706899	TLE4	ENST00000376552	+
chr14:75006577-75006714	EIF2B2	ENST00000266126	+
chr20:35144979-35145018	EDEM2	ENST00000374492	-
chr14:56603815-56603992	TMEM260	ENST00000261556	+
chrX:132392143-132392334	MBNL3	ENST00000370853	-
chr20:35146825-35146935	EDEM2	ENST00000374492	-
chr8:144889581-144889694	ZNF250	ENST00000417550	-
chr14:56617183-56617297	TMEM260	ENST00000261556	+
chr13:99537739-99537863	TM9SF2	ENST00000376387	+
chr9:95082575-95082719	AOPEP	ENST00000375315	+
chr16:46918621-46918757	GPT2	ENST00000340124	+
chr14:56621531-56621702	TMEM260	ENST00000261556	+
chr8:42157941-42158112	AP3M2	ENST00000396926	+
chr13:114236645-114236699	CDC16	ENST00000356221	+
chr14:58424008-58424095	TIMM9	ENST00000395159	-
chr12:117186477-117186571	FBXO21	ENST00000622495	-
chr20:5570147-5570239	GPCPD1	ENST00000379019	-
chr2:112064162-112064253	TMEM87B	ENST00000283206	+
chr20:62129785-62129952	LSM14B	ENST00000279068	+
chr1:17413537-17413717	RCC2	ENST00000375436	-
chr20:62130219-62130296	LSM14B	ENST00000279068	+
chr11:6617359-6617428	TPP1	ENST00000645620	-
chr1:17638562-17638689	ARHGEF10L	ENST00000361221	+
chr14:45232733-45232820	MIS18BP1	ENST00000310806	-
chr9:123180868-123180975	STRBP	ENST00000360998	-
chr14:49802453-49802573	NEMF	ENST00000298310	-
chr4:56448710-56448823	PAICS	ENST00000512576	+
chr21:15043495-15043574	NRIP1	ENST00000318948	-
chr5:78388837-78388914	SCAMP1	ENST00000621999	+
chr7:30062672-30062742	PLEKHA8	ENST00000449726	+
chr19:49645354-49645411	SCAF1	ENST00000360565	+
chr20:64022757-64022878	PRPF6	ENST00000266079	+
chr11:64833231-64833336	CDC42BPG	ENST00000342711	-
chr20:3316723-3316793	DNAAF9	ENST00000252032	-
chr11:9496303-9496378	ZNF143	ENST00000396602	+
chr20:3318289-3318400	DNAAF9	ENST00000252032	-
chr15:65562774-65562884	HACD3	ENST00000261875	+
chr20:63277205-63277305	ARFGAP1	ENST00000370283	+
chr2:238261729-238261837	PER2	ENST00000254657	-
chr20:3343676-3343731	DNAAF9	ENST00000252032	-
chr2:61259711-61259776	USP34	ENST00000398571	-
chr20:62327233-62327406	LAMA5	ENST00000252999	-
chr2:85401529-85401683	CAPG	ENST00000263867	-
chr20:3348525-3348623	DNAAF9	ENST00000252032	-
chr2:84449649-84449752	SUCLG1	ENST00000393868	-
chr20:38991454-38991515	DHX35	ENST00000252011	+
chr11:57814311-57814373	CTNND1	ENST00000399050	+
chr20:43567068-43567117	SGK2	ENST00000373100	+
chr20:45418852-45418979	PIGT	ENST00000279036	+
chr16:30963433-30963554	SETD1A	ENST00000262519	+
chr14:74288716-74288765	ABCD4	ENST00000356924	-
chr3:133756282-133756337	TF	ENST00000402696	+
chr1:206731839-206731919	MAPKAPK2	ENST00000367103	+
chr10:100990869-100991010	TWNK	ENST00000311916	+
chr9:86013046-86013144	NAA35	ENST00000361671	+
chr11:33099608-33099717	CSTF3	ENST00000323959	-
chr9:88426382-88426591	SPIN1	ENST00000375859	+
chr3:196782626-196782833	PAK2	ENST00000327134	+
chr20:41551305-41551360	CHD6	ENST00000373233	-
chr13:51703596-51703650	WDFY2	ENST00000298125	+
chr14:74295854-74295979	ABCD4	ENST00000356924	-
chr6:52505599-52505742	TRAM2	ENST00000182527	-
chr14:73879096-73879305	PTGR2	ENST00000555661	+
chr1:75789159-75789356	RABGGTB	ENST00000319942	+
chr14:58492144-58492275	KIAA0586	ENST00000652326	+
chr2:203175147-203175287	NBEAL1	ENST00000683969	+
chr14:59501191-59501267	JKAMP	ENST00000616435	+
chr20:50578420-50578629	PTPN1	ENST00000371621	+
chr5:135352946-135353045	MACROH2A1	ENST00000511689	-
chr2:68045988-68046043	C1D	ENST00000410067	-
chr14:63393820-63393928	PPP2R5E	ENST00000337537	-
chr14:63453689-63453885	PPP2R5E	ENST00000337537	-
chr6:144678406-144678578	UTRN	ENST00000367545	+
chr3:196369421-196369511	UBXN7	ENST00000296328	-
chr22:19494507-19494602	CDC45	ENST00000437685	+
chr14:70342658-70342729	COX16	ENST00000389912	-
chr12:71854785-71854853	TBC1D15	ENST00000491063	+
chr9:81652214-81652288	TLE1	ENST00000376499	-
chr12:109980952-109981046	GIT2	ENST00000355312	-
chr14:74882591-74882624	DLST	ENST00000334220	+
chr20:38040435-38040564	RPRD1B	ENST00000373433	+
chr18:12825810-12825944	PTPN2	ENST00000309660	-
chr20:38048348-38048481	RPRD1B	ENST00000373433	+
chr10:127052681-127052815	DOCK1	ENST00000623213	+
chr21:32353933-32354103	URB1	ENST00000382751	-
chrX:136877915-136878086	RBMX	ENST00000320676	-
chr22:19471687-19471808	UFD1	ENST00000263202	-
chr3:44929306-44929436	ZDHHC3	ENST00000424952	-
chr22:19475470-19475602	UFD1	ENST00000263202	-
chr14:67692934-67693052	RDH11	ENST00000381346	-
chr8:125083713-125084022	WASHC5	ENST00000318410	-
chr9:78328051-78328188	PSAT1	ENST00000376588	+
chr7:105482312-105482440	PUS7	ENST00000469408	-
chr1:9570258-9570358	SLC25A33	ENST00000302692	+
chr7:103341764-103341865	DNAJC2	ENST00000454277	-
chr19:1979163-1979248	CSNK1G2	ENST00000255641	+
chr1:9573346-9573412	SLC25A33	ENST00000302692	+
chr2:230183572-230183640	SP110	ENST00000258381	-
chr22:19177727-19177865	SLC25A1	ENST00000215882	-
chr17:2372343-2372488	SGSM2	ENST00000268989	+
chr22:17901878-17901979	MICAL3	ENST00000441493	-
chr16:8764738-8764830	ABAT	ENST00000268251	+
chr22:17827644-17827781	MICAL3	ENST00000441493	-
chr1:17425541-17425684	RCC2	ENST00000375436	-
chr1:99717410-99717525	FRRS1	ENST00000646001	-
chr13:102786232-102786339	POGLUT2	ENST00000376004	-
chr1:74738690-74738788	TYW3	ENST00000370867	+
chr4:25351589-25351689	ZCCHC4	ENST00000302874	+
chr3:184328631-184328756	EIF4G1	ENST00000346169	+
chr8:119221587-119221757	MAL2	ENST00000614891	+
chr7:129041557-129041717	TNPO3	ENST00000482320	-
chr10:122249544-122249664	TACC2	ENST00000369005	+
chr1:84650362-84650527	SSX2IP	ENST00000342203	-
chr3:119500695-119500860	TIMMDC1	ENST00000494664	+
chr12:68648699-68648781	RAP1B	ENST00000250559	+
chr8:119796990-119797103	TAF2	ENST00000378164	-
chr3:150623043-150623169	SELENOT	ENST00000471696	+
chr11:8712551-8712735	DENND2B	ENST00000313726	-
chr7:95416242-95416297	PON2	ENST00000222572	-
chr14:24305947-24306137	CIDEB	ENST00000554411	-
chr12:56137499-56137675	ESYT1	ENST00000394048	+
chr20:2463089-2463227	SNRPB	ENST00000381342	-
chr20:24968892-24969084	APMAP	ENST00000217456	-
chr7:100118396-100118649	TAF6	ENST00000691370	-
chr21:37069552-37069624	PIGP	ENST00000360525	-
chr2:43787181-43787250	DYNC2LI1	ENST00000260605	+
chr14:37790717-37790837	TTC6	ENST00000553443	+
chr20:3115305-3115466	UBOX5	ENST00000217173	-
chr19:8316496-8316645	NDUFA7	ENST00000301457	-
chr14:39133661-39133719	GEMIN2	ENST00000308317	+
chr20:31742541-31742647	TPX2	ENST00000300403	+
chr20:34634615-34634715	PIGU	ENST00000217446	-
chr14:24436388-24436489	KHNYN	ENST00000553935	+
chr3:184325851-184325951	EIF4G1	ENST00000346169	+
chrX:101021968-101022062	TRMT2B	ENST00000372936	-
chr9:97916164-97916338	TRMO	ENST00000375119	-
chr4:185264438-185264610	SNX25	ENST00000652585	+
chr21:46264117-46264217	MCM3AP	ENST00000291688	-
chr11:62831019-62831110	STX5	ENST00000394690	-
chr9:97651310-97651373	NCBP1	ENST00000375147	+
chr2:111847138-111847198	ANAPC1	ENST00000341068	-
chr8:94827722-94827793	INTS8	ENST00000523731	+
chr20:13816463-13816546	NDUFAF5	ENST00000378106	+
chr15:44496380-44496458	CTDSPL2	ENST00000260327	+
chr21:44091923-44092049	TRAPPC10	ENST00000291574	+
chr5:179591625-179591741	RUFY1	ENST00000319449	+
chr21:44084122-44084263	TRAPPC10	ENST00000291574	+
chr1:10404161-10404279	PGD	ENST00000270776	+
chr2:171946708-171946783	HAT1	ENST00000264108	+
chr20:23402993-23403072	NAPB	ENST00000377026	-
chr7:73543548-73543644	BCL7B	ENST00000223368	-
chr20:31544947-31545035	HM13	ENST00000398174	+
chr2:46613694-46613785	PIGF	ENST00000281382	-
chr14:39319209-39319291	MIA2	ENST00000640607	+
chr12:57231481-57231560	SHMT2	ENST00000328923	+
chr11:60900854-60900929	PRPF19	ENST00000227524	-
chr2:53939956-53940000	PSME4	ENST00000404125	-
chr1:53809695-53809746	NDC1	ENST00000371429	-
chr1:180836522-180836716	XPR1	ENST00000367590	+
chr5:138783177-138783372	CTNNA1	ENST00000302763	+
chr2:43560234-43560385	THADA	ENST00000405975	-
chr1:93232426-93232593	CCDC18	ENST00000690025	+
chr12:31442775-31442925	DENND5B	ENST00000389082	-
chrX:154784028-154784108	MPP1	ENST00000369534	-
chr15:74451436-74451520	UBL7	ENST00000395081	-
chr15:70684265-70684446	UACA	ENST00000322954	-
chr2:37279746-37279929	PRKD3	ENST00000234179	-
chr12:56093764-56093896	ERBB3	ENST00000267101	+
chr11:6617301-6617428	TPP1	ENST00000299427	-
chr6:8419580-8419677	SLC35B3	ENST00000644923	-
chr1:17412122-17412194	RCC2	ENST00000375436	-
chr22:20749905-20749994	PI4KA	ENST00000255882	-
chr8:27748495-27748598	CCDC25	ENST00000356537	-
chr15:67203548-67203597	AAGAB	ENST00000261880	-
chr1:1755374-1755476	NADK	ENST00000341426	-
chr16:87838714-87838817	SLC7A5	ENST00000261622	-
chr15:63632709-63632811	HERC1	ENST00000443617	-
chr20:41454626-41454736	CHD6	ENST00000373233	-
chr2:27492666-27492790	FNDC4	ENST00000264703	-
chr17:62608041-62608148	TLK2	ENST00000346027	+
chr1:204114519-204114605	SOX13	ENST00000367204	+
chr19:6681941-6682030	C3	ENST00000245907	-
chr12:6727926-6728001	COPS7A	ENST00000543155	+
chr12:64418046-64418115	XPOT	ENST00000332707	+
chr12:111486761-111486824	ATXN2	ENST00000673436	-
chr8:100715462-100715601	PABPC1	ENST00000318607	-
chr15:58913499-58913696	SLTM	ENST00000380516	-
chr2:108775732-108775936	RANBP2	ENST00000283195	+
chr12:6849323-6849429	CDCA3	ENST00000538862	-
chr2:96612462-96612563	KANSL3	ENST00000431828	-
chr7:73709045-73709122	STX1A	ENST00000222812	-
chr17:50105371-50105442	PDK2	ENST00000503176	+
chr1:151345928-151345961	RFX5	ENST00000452671	-
chr15:65166631-65166785	CLPX	ENST00000300107	-
chr1:19094906-19095025	UBR4	ENST00000375254	-
chr1:19097193-19097280	UBR4	ENST00000375254	-
chr12:53669871-53669948	ATP5MC2	ENST00000394349	-
chr2:37216984-37217037	CEBPZ	ENST00000234170	-
chr14:75121119-75121174	NEK9	ENST00000238616	-
chr12:57631200-57631364	B4GALNT1	ENST00000341156	-
chr19:42358787-42358954	MEGF8	ENST00000251268	+
chr2:37072110-37072281	HEATR5B	ENST00000233099	-
chr1:111459457-111459636	ATP5PB	ENST00000369722	+
chr2:37020655-37020836	HEATR5B	ENST00000233099	-
chr11:3706445-3706627	NUP98	ENST00000324932	-
chr7:73686818-73686900	BUD23	ENST00000265758	+
chr11:62801562-62801631	NXF1	ENST00000294172	-
chr7:73690916-73691012	BUD23	ENST00000265758	+
chr16:15076558-15076650	RRN3	ENST00000198767	-
chr7:73693329-73693414	BUD23	ENST00000265758	+
chr17:39726562-39726659	ERBB2	ENST00000269571	+
chr7:73693624-73693669	BUD23	ENST00000265758	+
chr16:4683224-4683269	MGRN1	ENST00000262370	+
chr7:73693992-73694050	BUD23	ENST00000265758	+
chr19:36146247-36146312	CAPNS1	ENST00000586851	+
chr12:7368087-7368197	CD163L1	ENST00000313599	-
chr8:28107913-28107976	ELP3	ENST00000256398	+
chr12:15900947-15901012	STRAP	ENST00000419869	+
chr2:73767161-73767207	DUSP11	ENST00000272444	-
chr16:14584749-14584791	PARN	ENST00000437198	-
chr2:73224866-73224960	SMYD5	ENST00000389501	+
chr10:102483011-102483103	ACTR1A	ENST00000369905	-
chr2:73223947-73224003	SMYD5	ENST00000389501	+
chr7:44211554-44211604	YKT6	ENST00000678359	+
chr15:75873428-75873568	UBE2Q2	ENST00000267938	+
chr20:49063202-49063344	CSE1L	ENST00000262982	+
chr2:74657853-74657951	SEMA4F	ENST00000357877	+
chr5:132203748-132203847	P4HA2	ENST00000360568	-
chr10:49991676-49991744	AGAP6	ENST00000412531	+
chr11:61803032-61803111	FADS1	ENST00000350997	-
chr1:156042153-156042236	UBQLN4	ENST00000368309	-
chr1:155053910-155053988	ADAM15	ENST00000356955	+
chr1:156057978-156058067	LAMTOR2	ENST00000368305	+
chr16:30365495-30365594	TBC1D10B	ENST00000409939	-
chr1:15938718-15938876	SPEN	ENST00000375759	+
chr20:3022054-3022220	PTPRA	ENST00000399903	+
chr5:102949537-102949617	PAM	ENST00000438793	+
chr2:65088939-65089070	RAB1A	ENST00000409784	-
chr17:64536602-64536748	CEP95	ENST00000556440	+
chr1:150068594-150068764	VPS45	ENST00000698587	+
chr2:61280244-61280348	USP34	ENST00000398571	-
chr11:14832722-14832833	PDE3B	ENST00000282096	+
chr2:61206760-61206886	USP34	ENST00000398571	-
chr3:25620682-25620816	TOP2B	ENST00000264331	-
chr2:61204256-61204380	USP34	ENST00000398571	-
chr4:145123478-145123600	ABCE1	ENST00000296577	+
chr14:45129794-45129901	FKBP3	ENST00000396062	-
chr2:61190518-61190658	USP34	ENST00000398571	-
chr5:97006073-97006233	LNPEP	ENST00000231368	+
chr15:72347686-72347758	HEXA	ENST00000268097	-
chr12:6865164-6865248	USP5	ENST00000229268	+
chr1:16971465-16971647	CROCC	ENST00000375541	+
chr19:49836226-49836406	MED25	ENST00000312865	+
chr2:60920574-60920642	REL	ENST00000394479	+
chr14:50158565-50158646	SOS2	ENST00000216373	-
chr20:44938061-44938191	PABPC1L	ENST00000217073	+
chr2:71348753-71350271	ZNF638	ENST00000264447	+
chr5:139307241-139308327	MATR3	ENST00000504045	+
chr2:71075555-71075642	NAGK	ENST00000244204	+
chr6:41737730-41737828	PGC	ENST00000373025	-
chr2:71070502-71070586	NAGK	ENST00000244204	+
chr11:62888135-62888218	SLC3A2	ENST00000338663	+
chr19:11010381-11010531	SMARCA4	ENST00000344626	+
chr15:74450802-74450859	UBL7	ENST00000395081	-
chr3:38140388-38140592	MYD88	ENST00000421516	+
chr15:74452296-74452378	UBL7	ENST00000395081	-
chr17:27621193-27621273	KSR1	ENST00000644974	+
chr1:161158121-161158211	UFC1	ENST00000368003	+
chr1:151232248-151232365	PIP5K1A	ENST00000368888	+
chr12:69812778-69812877	RAB3IP	ENST00000247833	+
chr20:43572051-43572137	SGK2	ENST00000373100	+
chr1:23439161-23439230	ASAP3	ENST00000336689	-
chr6:30579931-30580005	ABCF1	ENST00000326195	+
chr13:113547300-113547379	TMCO3	ENST00000434316	+
chr2:25753534-25753639	ASXL2	ENST00000435504	-
chr4:82824555-82824674	SEC31A	ENST00000395310	-
chr8:21971876-21971941	XPO7	ENST00000252512	+
chr18:264026-264092	THOC1	ENST00000261600	-
chr13:113245956-113246063	CUL4A	ENST00000375440	+
chr1:156333547-156333643	CCT3	ENST00000295688	-
chr1:235160511-235160647	RBM34	ENST00000408888	-
chrX:71567993-71568116	OGT	ENST00000373719	+
chrX:7922004-7922098	PNPLA4	ENST00000381042	-
chr9:91356088-91356155	AUH	ENST00000375731	-
chr8:431341-431444	FBXO25	ENST00000350302	+
chr1:231347797-231347925	SPRTN	ENST00000295050	+
chr8:94734630-94734754	DPY19L4	ENST00000414645	+
chr3:52690592-52690704	GNL3	ENST00000418458	+
chr15:32635777-32635915	ARHGAP11A	ENST00000361627	+
chr6:75259347-75259490	TMEM30A	ENST00000230461	-
chr1:2399415-2399514	RER1	ENST00000605895	+
chr2:179123715-179123829	SESTD1	ENST00000428443	-
chr2:179116668-179116790	SESTD1	ENST00000428443	-
chr1:55100839-55100964	USP24	ENST00000294383	-
chr13:32759628-32759690	PDS5B	ENST00000315596	+
chr10:73138003-73138070	ECD	ENST00000372979	-
chr7:92389971-92390116	ANKIB1	ENST00000265742	+
chr1:62634773-62634922	DOCK7	ENST00000635253	-
chr2:174246715-174246815	OLA1	ENST00000284719	-
chr12:131994867-131994956	EP400	ENST00000389561	+
chr7:94518203-94518323	CASD1	ENST00000297273	+
chr15:40809852-40809970	ZFYVE19	ENST00000355341	+
chr3:48679377-48679457	NCKIPSD	ENST00000294129	-
chr15:40016502-40016672	EIF2AK4	ENST00000263791	+
chr5:168506021-168506199	RARS1	ENST00000231572	+
chr13:23668692-23669097	TNFRSF19	ENST00000248484	+
chr5:55344522-55344620	MTREX	ENST00000230640	+
chr13:25312883-25313032	NUP58	ENST00000381736	+
chr2:197459932-197460081	COQ10B	ENST00000263960	+
chr20:36919364-36919519	SAMHD1	ENST00000646673	-
chr2:196864987-196865080	PGAP1	ENST00000354764	-
chr1:51440347-51440432	EPS15	ENST00000371733	-
chr3:33024251-33024325	GLB1	ENST00000307363	-
chr17:37240476-37240564	ACACA	ENST00000616317	-
chr1:23786315-23786423	PITHD1	ENST00000246151	+
chr15:43335696-43335826	ADAL	ENST00000562188	+
chr15:25354353-25354426	UBE3A	ENST00000648336	-
chr15:34361400-34361532	LPCAT4	ENST00000314891	-
chr15:50465047-50465191	USP8	ENST00000307179	+
chr3:52760795-52760936	NEK4	ENST00000233027	-
chr1:209842583-209842695	UTP25	ENST00000491415	+
chr1:183135042-183135156	LAMC1	ENST00000258341	+
chr15:50462280-50462322	USP8	ENST00000307179	+
chr2:237708544-237708630	LRRFIP1	ENST00000308482	+
chr7:111945717-111945798	DOCK4	ENST00000428084	-
chr7:100688451-100688515	GIGYF1	ENST00000678049	-
chr10:119825952-119826018	INPP5F	ENST00000637174	+
chr9:33029885-33029989	DNAJA1	ENST00000330899	+
chr12:95976429-95976498	HAL	ENST00000261208	-
chrX:151955368-151955567	GABRE	ENST00000370328	-
chr1:43956810-43956976	IPO13	ENST00000372343	+
chrX:149486925-149487098	IDS	ENST00000340855	-
chr20:33640341-33640531	CBFA2T2	ENST00000342704	+
chr2:219247662-219247757	STK16	ENST00000396738	+
chr2:27312494-27312589	MPV17	ENST00000380044	-
chr2:219235474-219235585	ANKZF1	ENST00000323348	+
chr17:39724726-39724911	ERBB2	ENST00000269571	+
chr7:87194684-87194828	DMTF1	ENST00000331242	+
chr16:11886777-11886931	GSPT1	ENST00000434724	-
chr2:218727269-218727347	TTLL4	ENST00000392102	+
chr10:35516523-35516623	CCNY	ENST00000374704	+
chr2:227330626-227330846	MFF	ENST00000304593	+
chr16:58558473-58558674	CNOT1	ENST00000317147	-
chr1:225410291-225410416	LBR	ENST00000272163	-
chr2:170951328-170951458	GORASP2	ENST00000234160	+
chr1:219982772-219982844	EPRS1	ENST00000366923	-
chr11:7648800-7648911	PPFIBP2	ENST00000299492	+
chr1:21706744-21706868	USP48	ENST00000308271	-
chr11:16794910-16795018	PLEKHA7	ENST00000531066	-
chr1:221738934-221739787	DUSP10	ENST00000366899	-
chr14:94079025-94079747	DDX24	ENST00000621632	-
chr2:230464067-230464150	SP100	ENST00000340126	+
chrX:50422446-50422526	DGKK	ENST00000611977	-
chr12:50089884-50089985	SMARCD1	ENST00000394963	+
chr1:235113768-235113910	TOMM20	ENST00000366607	-
chr12:8936856-8936964	PHC1	ENST00000544916	+
chrX:70419661-70419783	KIF4A	ENST00000374403	+
chr2:55355579-55355751	CCDC88A	ENST00000436346	-
chr12:95059906-95059984	NR2C1	ENST00000333003	-
chr1:23053761-23053839	KDM1A	ENST00000400181	+
chr11:43335278-43335354	API5	ENST00000531273	+
chr18:50939570-50939640	ME2	ENST00000321341	+
chr17:42815908-42816054	BECN1	ENST00000590099	-
chr6:4117308-4117451	ECI2	ENST00000380118	-
chrX:50384720-50384824	DGKK	ENST00000611977	-
chr3:48296727-48296829	NME6	ENST00000442597	-
chr17:80227818-80227960	SLC26A11	ENST00000361193	+
chr17:3020477-3020595	RAP1GAP2	ENST00000254695	+
chr6:89662792-89662967	MDN1	ENST00000369393	-
chr20:48952705-48952884	ARFGEF2	ENST00000371917	+
chr6:17539269-17539458	CAP2	ENST00000229922	+
chr1:41048690-41048890	SCMH1	ENST00000695335	-
chr6:17507641-17507726	CAP2	ENST00000229922	+
chr1:23779864-23779941	PITHD1	ENST00000246151	+
chr5:146049075-146049245	SH3RF2	ENST00000359120	+
chr5:16679947-16680104	MYO10	ENST00000513610	-
chr17:17216380-17216503	FLCN	ENST00000285071	-
chr9:114290810-114290917	COL27A1	ENST00000356083	+
chr11:125580093-125580204	EI24	ENST00000278903	+
chr11:19166302-19166385	ZDHHC13	ENST00000446113	+
chr3:9366908-9366985	THUMPD3	ENST00000452837	+
chr18:31832084-31832173	TRAPPC8	ENST00000283351	-
chr7:103327656-103327754	DNAJC2	ENST00000379263	-
chr17:64049055-64049202	ERN1	ENST00000433197	-
chr20:34919435-34919572	ACSS2	ENST00000360596	+
chr6:89670919-89671080	MDN1	ENST00000369393	-
chr6:26658558-26658646	ZNF322	ENST00000415922	-
chr4:48833401-48833481	OCIAD1	ENST00000264312	+
chr17:60461810-60461915	APPBP2	ENST00000083182	-
chr8:102329090-102329200	UBR5	ENST00000520539	-
chr12:55726890-55726963	CD63	ENST00000552067	-
chr5:131315976-131316144	CDC42SE2	ENST00000505065	+
chr2:148690214-148690373	EPC2	ENST00000258484	+
chr5:176388235-176388343	NOP16	ENST00000614830	-
chr16:69754594-69754726	NOB1	ENST00000268802	-
chr5:80448026-80448404	ZFYVE16	ENST00000505560	+
chr4:67508814-67509105	CENPC	ENST00000273853	-
chr5:81108996-81109078	RASGRF2	ENST00000265080	+
chr9:83788601-83788678	GKAP1	ENST00000376371	-
chr10:27142387-27142485	YME1L1	ENST00000376016	-
chr5:142144571-142144676	NDFIP1	ENST00000253814	+
chr17:42117907-42118017	KAT2A	ENST00000225916	-
chr3:23917533-23917665	RPL15	ENST00000415719	+
chr5:141980123-141980351	RNF14	ENST00000394520	+
chr17:69248262-69248317	ABCA5	ENST00000392676	-
chr6:16143699-16143863	MYLIP	ENST00000356840	+
chr7:127703165-127703323	SND1	ENST00000354725	+
chr11:119071596-119071843	VPS11	ENST00000621676	+
chr3:42200818-42201054	TRAK1	ENST00000327628	+
chr20:35556955-35557109	ERGIC3	ENST00000451605	+
chr17:82907761-82907821	TBCD	ENST00000355528	+
chr10:86472612-86472764	WAPL	ENST00000298767	-
chr13:31151609-31151742	HSPH1	ENST00000320027	-
chr19:18940321-18940404	HOMER3	ENST00000600077	-
chr16:88736639-88736739	PIEZO1	ENST00000301015	-
chr21:46001961-46002070	COL6A1	ENST00000361866	+
chr6:170571410-170571504	TBP	ENST00000392092	+
chr15:45605428-45605514	BLOC1S6	ENST00000220531	+
chr9:123073552-123073677	RABGAP1	ENST00000373647	+
chr7:30631448-30631559	GARS1	ENST00000675651	+
chr9:123074285-123074428	RABGAP1	ENST00000373647	+
chr19:32437194-32437339	DPY19L3	ENST00000392250	+
chr18:31839312-31839457	TRAPPC8	ENST00000283351	-
chr1:235240313-235240451	ARID4B	ENST00000264183	-
chr6:167294517-167294698	UNC93A	ENST00000230256	+
chr8:140541164-140541358	AGO2	ENST00000220592	-
chr17:60288523-60288682	USP32	ENST00000300896	-
chrX:123686548-123686714	THOC2	ENST00000245838	-
chr6:32850944-32851149	TAP1	ENST00000354258	-
chr5:115230976-115231021	PGGT1B	ENST00000419445	-
